state,district,week_index,week,pred_bio,pred_demo,pred_enrol,forecast_step
Karnataka,Udupi *,5,52,0.9517614673121276,0.4002116323400863,0.0,1
Maharashtra,Ahilyanagar,5,53,1.7884199429938819,82.49821569301008,0.011592041207279549,1
West Bengal,East midnapore,5,51,0.3646200326353027,0.5318230924139193,0.0,1
Andaman & Nicobar Islands,Nicobars,5,50,0.5482609877421051,1.4400793379889147,0.07950211896070508,1
West Bengal,Bally Jagachha,6,53,0.3646200326353027,0.5850940539994398,0.0,1
Maharashtra,Hingoli *,6,53,1.4454442438401718,0.7338236064474184,0.0,1
Odisha,ANGUL,7,50,0.5624574260409301,0.684622768163683,0.132484537583098,1
Odisha,NAYAGARH,7,51,0.5554413357376086,0.20834730885805577,0.0,1
West Bengal,South DumDum(M),7,51,0.3729936984785018,0.8760786544724738,0.0,1
100000,100000,8,53,0.26702452485240563,0.5957266986287182,0.0,1
West Bengal,West Medinipur,8,53,0.367776132915665,1.0051533778993373,0.024245181355704627,1
West Bengal,South 24 Pargana,8,49,0.45870773422907685,2.4388957021368607,0.0,1
Rajasthan,Beawar,8,53,1.1213422368235704,134.01120552798102,0.0,1
Rajasthan,Didwana-Kuchaman,8,53,1.1558133575140266,192.71958180692334,0.0,1
Jammu & Kashmir,Leh (ladakh),8,50,0.6774385114531337,1.2366865560608205,0.0,1
Rajasthan,Khairthal-Tijara,8,53,1.8294300234681096,284.98313392464024,0.0,1
Rajasthan,Kotputli-Behror,8,53,0.910143448305419,159.5182915468895,0.0,1
Rajasthan,Phalodi,8,53,0.8683661639242879,47.77292162430582,0.0,1
Chandigarh,Mohali,8,53,0.6893154839272408,0.5215460395737397,0.0,1
Rajasthan,Balotra,8,53,0.8828337977211097,137.85147176158026,0.0,1
Tamil Nadu,Kanchipuram,9,53,0.9134373066102789,0.8255325323292648,0.02265020548227571,1
Karnataka,Bijapur(KAR),9,53,0.8999273100214109,0.6897956901834017,0.0,1
Uttar Pradesh,Bagpat,9,52,0.6874027565617726,0.7718487397824012,0.0,1
West Bengal,KOLKATA,9,52,0.16208461546791714,1.9312916065911814,0.0,1
Tamil Nadu,Tuticorin,9,53,0.9724498946597977,0.8717534337670652,0.0,1
West Bengal,NADIA,9,53,0.2804780471253728,2.8101937005897484,0.0,1
West Bengal,South 24 parganas,9,51,0.16208461546791714,1.313651033320227,0.0,1
West Bengal,nadia,9,52,0.3983863271493833,0.9802230099912607,0.11195970525126123,1
andhra pradesh,rangareddi,10,53,0.1917506005397198,1.1514084616195754,0.0,1
West Bengal,East Midnapur,10,53,0.45646751810340136,1.7708433089249742,0.0,1
West Bengal,Hooghiy,10,53,0.37477463318407234,3.1168082276040696,0.038220296135631625,1
Telangana,Medchal?malkajgiri,10,52,0.4228631491225155,1.0990139191542718,0.0,1
Meghalaya,Jaintia Hills,11,52,0.34174768393881627,1.3276289116629179,0.0,1
Odisha,Anugal,11,52,0.7225768207808665,0.8819188045118556,0.0,1
Jammu & Kashmir,Rajauri,11,53,0.7064150513481191,1.5524833344980746,0.0,1
Rajasthan,Salumbar,12,53,0.6476110454763505,24.641814865403603,0.0,1
Arunachal Pradesh,Leparada,12,53,0.7598373029754188,0.8571745160066115,0.0,1
Mizoram,Hnahthial,13,53,0.8173652909912299,2.2630235277819977,0.0,1
Rajasthan,Jalore,13,53,2.0963171087455663,173.26507389830954,0.0,1
Uttar Pradesh,Raebareli,13,53,0.8935478166834714,1.13658571966708,0.0,1
andhra pradesh,chittoor,14,53,0.6240927015433696,2.1205206867198267,0.0,1
Himachal Pradesh,Lahaul and Spiti,14,53,2.357976103729073,4.602009144583281,0.02919397306301856,1
Karnataka,Bengaluru Rural,14,53,0.4232147163624004,7.609086296694665,0.0,1
Goa,Bardez,14,53,2.010341184494381,4.2556717408963785,0.0,1
Bihar,Aurangabad(BH),14,53,0.8749674599972522,3.522357876435048,0.0,1
West bengal,hooghly,15,52,0.48541788620875426,5.692961298109303,0.024637587116396072,1
Telangana,Warangal (urban),15,53,0.4881437754206845,5.865476726427035,0.029079002963250535,1
Rajasthan,Deeg ,15,53,0.7200127608233566,76.12200939277864,0.0,1
Karnataka,Chamarajanagar *,15,53,2.8789653894764786,5.370389379951587,0.000853366977458165,1
Manipur,Pherzawl,15,53,0.39563572263683233,10.948869904182015,0.0,1
Arunachal Pradesh,Pakke Kessang,15,53,0.7545380508174181,2.844501669957907,0.008387919474608985,1
Sikkim,Mangan,15,53,0.029946105263144878,5.333134799480048,0.0,1
West Bengal,Hawrah,15,53,0.4394748873355176,2.4624779921699105,0.0,1
West Bengal,HOWRAH,16,52,0.5693599931022411,1.0313738231597842,0.0,1
Tamil Nadu,Tirupathur,16,53,3.3617727367035815,7.1644151803124005,0.06537731024097283,1
Uttar Pradesh,Kushinagar *,16,53,2.5520632707800592,6.0226574660651,0.0,1
Uttar Pradesh,Mahrajganj,16,53,1.2873329832876,3.1026693409509374,0.0,1
WEST BENGAL,HOOGHLY,17,53,0.7151443240142146,5.670448725393492,0.0,1
Mizoram,Khawzawl,18,52,0.3253042209431161,0.8797660503314789,0.06840417223478724,1
Sikkim,Namchi,18,53,0.34363740110561997,13.711139228596407,0.03559688141804689,1
Rajasthan,Deeg,18,53,12.808258807845277,18.390934255973757,0.0,1
Nagaland,Tseminyu,18,53,1.3581575674745474,4.779719776772545,0.0012437314239921696,1
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,18,53,10.411095361611753,9.34204955484434,0.0,1
Nagaland,Meluri,18,53,14.459978100609275,1.6045061020433755,0.01992677779798655,1
Maharashtra,Raigarh(MH),19,53,25.295202292975684,47.45571132372587,0.06213603905653978,1
Bihar,Sheikpura,19,53,6.574370340462124,8.923535201422963,0.0,1
Puducherry,Yanam,19,53,2.475535187213255,7.461172310515577,0.0,1
West Bengal,MALDA,19,53,1.667835701534572,5.010336917553734,0.0,1
Mizoram,Saitual,19,53,1.0079739663267835,7.1475061951919745,0.01562325811183497,1
Chhattisgarh,Janjgir Champa,19,53,14.381349767556966,24.825909378556304,0.02237205125757188,1
West Bengal,Medinipur,19,53,2.8144300787138876,12.612542320149256,0.0,1
Odisha,Jajpur,20,53,8.513009300042679,17.888277101971386,0.0,1
Maharashtra,Washim *,20,53,45.30349748967863,29.679335429105944,0.0,1
Odisha,jajpur,20,53,2.6334456506314723,10.626684714237557,0.050556736119405504,1
Odisha,ANUGUL,21,53,3.0822821286779263,12.878044670398516,0.0,1
Nagaland,Niuland,21,53,1.7334362873445643,9.976835303612669,0.050744164757366844,1
